,country,country_abbreviation,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,cases_per_mill_pop
93,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
94,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
95,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
96,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
97,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
98,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
99,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
100,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
101,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
102,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
103,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
104,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
105,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
106,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
107,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
108,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
109,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
110,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
111,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
112,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
113,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
114,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
115,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
116,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
117,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
118,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
119,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
120,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
121,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
122,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
123,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
124,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
125,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
126,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
127,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
128,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
129,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
130,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
131,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
132,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
